Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol
1973-02-19 00:00:00-05:00,9.480984629755435,9.645157523777174,9.43994140625,9.43994140625,46100,0.0,0.0,CMS
1973-02-26 00:00:00-05:00,9.439944221463266,9.480987457208759,9.234728042735805,9.398900985717773,39200,0.0,0.0,CMS
1973-03-05 00:00:00-05:00,9.398900985717773,9.480987457208759,9.31681451422679,9.398900985717773,25100,0.0,0.0,CMS
1973-03-12 00:00:00-05:00,9.398900985717773,9.480987457208759,9.31681451422679,9.398900985717773,45500,0.0,0.0,CMS
1973-03-19 00:00:00-05:00,9.398900799221463,9.43994403415256,9.23472785949707,9.23472785949707,59800,0.0,0.0,CMS
1973-03-26 00:00:00-05:00,9.234727997528879,9.439944175251743,9.234727997528879,9.357857704162598,35000,0.0,0.0,CMS
1973-04-02 00:00:00-05:00,9.35785460472107,9.3988978266716,9.193681716918945,9.193681716918945,54700,0.0,0.0,CMS
1973-04-09 00:00:00-05:00,9.152638494968414,9.316811382770538,9.029508829116821,9.193681716918945,41200,0.5,0.0,CMS
1973-04-16 00:00:00-05:00,9.360084327491554,9.360084327491554,9.276512145996094,9.276512145996094,28100,0.0,0.0,CMS
1973-04-23 00:00:00-05:00,9.276512145996094,9.318298236743825,9.234726055248364,9.276512145996094,23200,0.0,0.0,CMS
1973-04-30 00:00:00-04:00,9.27651509682694,9.443659512985983,9.234728992787177,9.3183012008667,31100,0.0,0.0,CMS
1973-05-07 00:00:00-04:00,9.318296543189458,9.443654792649404,9.27651046003614,9.360082626342773,19400,0.0,0.0,CMS
1973-05-14 00:00:00-04:00,9.318298236743825,9.318298236743825,9.234726055248364,9.276512145996094,31300,0.0,0.0,CMS
1973-05-21 00:00:00-04:00,9.276508932244289,9.36008108478703,9.109364627158806,9.151150703430176,106400,0.0,0.0,CMS
1973-05-28 00:00:00-04:00,9.151152167209359,9.151152167209359,8.94222175243289,8.984007835388184,42100,0.0,0.0,CMS
1973-06-04 00:00:00-04:00,8.984006996507997,9.025793075561523,8.900434838400946,9.025793075561523,32300,0.0,0.0,CMS
1973-06-11 00:00:00-04:00,9.025799917518546,9.10937213897705,8.900441585330789,9.10937213897705,48900,0.0,0.0,CMS
1973-06-18 00:00:00-04:00,9.0675860282478,9.10937213897705,8.94222769606004,9.10937213897705,54500,0.0,0.0,CMS
1973-06-25 00:00:00-04:00,9.109365233668575,9.1511513127221,9.025793075561523,9.025793075561523,22000,0.0,0.0,CMS
1973-07-02 00:00:00-04:00,9.067585251548072,9.31830189444802,9.067585251548072,9.192943572998047,45100,0.0,0.0,CMS
1973-07-09 00:00:00-04:00,9.19294081122627,9.401871284208685,9.151154716629787,9.234726905822754,30200,0.0,0.0,CMS
1973-07-16 00:00:00-04:00,9.234733785901751,9.276519911629814,8.775086402893066,8.775086402893066,38900,0.0,0.0,CMS
1973-07-23 00:00:00-04:00,8.775077488111414,8.858649654664855,8.64971923828125,8.64971923828125,40600,0.0,0.0,CMS
1973-07-30 00:00:00-04:00,8.649720837088193,8.69150692808862,8.35721820008521,8.524362564086914,36400,0.0,0.0,CMS
1973-08-06 00:00:00-04:00,8.524365245705784,8.607937453997017,8.399006933268934,8.44079303741455,22200,0.0,0.0,CMS
1973-08-13 00:00:00-04:00,8.44079303741455,8.607937453997017,8.399006933268934,8.44079303741455,30400,0.0,0.0,CMS
1973-08-20 00:00:00-04:00,8.440790382086062,8.607934746087766,8.440790382086062,8.524362564086914,22300,0.0,0.0,CMS
1973-08-27 00:00:00-04:00,8.524369648524694,8.900444780077253,8.48258352279663,8.775086402893066,46800,0.0,0.0,CMS
1973-09-03 00:00:00-04:00,8.775085302499624,8.858657543475811,8.60794082054725,8.691513061523438,28800,0.0,0.0,CMS
1973-09-10 00:00:00-04:00,8.69151073136353,8.733296840648933,8.440794075651121,8.482580184936523,32100,0.0,0.0,CMS
1973-09-17 00:00:00-04:00,8.52436092287995,9.025793918343476,8.52436092287995,8.984007835388184,40100,0.0,0.0,CMS
1973-09-24 00:00:00-04:00,8.984006996507997,9.109365233668575,8.77507660124037,9.025793075561523,31800,0.0,0.0,CMS
1973-10-01 00:00:00-04:00,9.025793918343476,9.109366084254065,8.8586495865223,8.984007835388184,32300,0.0,0.0,CMS
1973-10-08 00:00:00-04:00,8.984011462036992,9.02579756186042,8.816867062743281,8.900439262390137,83100,0.0,0.0,CMS
1973-10-15 00:00:00-04:00,8.733293019089045,8.733293019089045,8.440790382086062,8.524362564086914,37400,0.0,0.0,CMS
1973-10-22 00:00:00-04:00,8.524365154664908,8.607937362063584,8.357220739867557,8.399006843566895,60200,0.0,0.0,CMS
1973-10-29 00:00:00-05:00,8.399009628295898,8.524367980957031,8.357223510742188,8.357223510742188,38900,0.0,0.0,CMS
1973-11-05 00:00:00-05:00,8.357221517131556,8.440793732302872,8.27364930196024,8.315435409545898,50500,0.0,0.0,CMS
1973-11-12 00:00:00-05:00,8.31543585920581,8.31543585920581,7.68864421152698,8.064719200134277,60400,0.0,0.0,CMS
1973-11-19 00:00:00-05:00,8.06471934394231,8.148291565123058,7.855788790990436,7.8975749015808105,30800,0.0,0.0,CMS
1973-11-26 00:00:00-05:00,7.855790845463785,7.855790845463785,7.354357387242692,7.437929630279541,71200,0.0,0.0,CMS
1973-12-03 00:00:00-05:00,7.437922228707208,7.56328046851688,7.228991829024421,7.521494388580322,91600,0.0,0.0,CMS
1973-12-10 00:00:00-05:00,7.521495010893224,7.813997594650183,7.39613676071167,7.39613676071167,49500,0.0,0.0,CMS
1973-12-17 00:00:00-05:00,7.396131573052242,7.437917627137283,7.020057086286874,7.270773410797119,132100,0.0,0.0,CMS
