Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol
2025-07-07 09:30:00-04:00,18.30500030517578,18.40999984741211,18.280000686645508,18.395000457763672,125121,0.0,0.0,KEY
2025-07-07 09:31:00-04:00,18.395000457763672,18.43000030517578,18.375,18.43000030517578,13942,0.0,0.0,KEY
2025-07-07 09:32:00-04:00,18.40999984741211,18.489999771118164,18.40999984741211,18.434999465942383,36135,0.0,0.0,KEY
2025-07-07 09:33:00-04:00,18.440000534057617,18.4950008392334,18.440000534057617,18.4950008392334,34506,0.0,0.0,KEY
2025-07-07 09:34:00-04:00,18.5,18.530000686645508,18.489999771118164,18.5,50228,0.0,0.0,KEY
2025-07-07 09:35:00-04:00,18.5049991607666,18.549999237060547,18.5,18.530500411987305,21790,0.0,0.0,KEY
2025-07-07 09:36:00-04:00,18.540000915527344,18.549999237060547,18.524999618530273,18.540000915527344,40786,0.0,0.0,KEY
2025-07-07 09:37:00-04:00,18.530000686645508,18.540000915527344,18.5,18.510000228881836,19719,0.0,0.0,KEY
2025-07-07 09:38:00-04:00,18.510000228881836,18.510000228881836,18.479999542236328,18.4950008392334,9680,0.0,0.0,KEY
2025-07-07 09:39:00-04:00,18.4950008392334,18.530000686645508,18.4950008392334,18.530000686645508,21312,0.0,0.0,KEY
2025-07-07 09:40:00-04:00,18.524999618530273,18.530000686645508,18.469999313354492,18.479999542236328,23342,0.0,0.0,KEY
2025-07-07 09:41:00-04:00,18.474300384521484,18.479999542236328,18.46430015563965,18.46500015258789,11514,0.0,0.0,KEY
2025-07-07 09:42:00-04:00,18.46430015563965,18.5,18.46430015563965,18.485000610351562,21833,0.0,0.0,KEY
2025-07-07 09:43:00-04:00,18.479999542236328,18.485000610351562,18.459999084472656,18.479999542236328,21131,0.0,0.0,KEY
2025-07-07 09:44:00-04:00,18.475000381469727,18.479999542236328,18.46500015258789,18.46500015258789,7409,0.0,0.0,KEY
2025-07-07 09:45:00-04:00,18.46500015258789,18.489999771118164,18.46500015258789,18.489999771118164,18216,0.0,0.0,KEY
2025-07-07 09:46:00-04:00,18.479999542236328,18.510000228881836,18.46500015258789,18.475000381469727,529839,0.0,0.0,KEY
2025-07-07 09:47:00-04:00,18.475000381469727,18.479999542236328,18.440000534057617,18.44499969482422,16190,0.0,0.0,KEY
2025-07-07 09:48:00-04:00,18.44499969482422,18.459999084472656,18.434999465942383,18.459999084472656,17707,0.0,0.0,KEY
2025-07-07 09:49:00-04:00,18.459999084472656,18.479999542236328,18.450000762939453,18.46500015258789,287473,0.0,0.0,KEY
2025-07-07 09:50:00-04:00,18.46500015258789,18.46500015258789,18.43000030517578,18.43000030517578,31674,0.0,0.0,KEY
2025-07-07 09:51:00-04:00,18.43000030517578,18.440000534057617,18.420000076293945,18.434999465942383,26523,0.0,0.0,KEY
2025-07-07 09:52:00-04:00,18.434999465942383,18.459999084472656,18.434999465942383,18.454999923706055,41090,0.0,0.0,KEY
2025-07-07 09:53:00-04:00,18.454999923706055,18.479999542236328,18.454999923706055,18.475000381469727,14089,0.0,0.0,KEY
2025-07-07 09:54:00-04:00,18.475000381469727,18.489999771118164,18.475000381469727,18.485000610351562,13910,0.0,0.0,KEY
2025-07-07 09:55:00-04:00,18.485000610351562,18.489999771118164,18.459999084472656,18.46500015258789,29682,0.0,0.0,KEY
2025-07-07 09:56:00-04:00,18.46500015258789,18.469999313354492,18.450000762939453,18.46500015258789,14297,0.0,0.0,KEY
2025-07-07 09:57:00-04:00,18.46500015258789,18.479999542236328,18.460500717163086,18.479999542236328,8683,0.0,0.0,KEY
2025-07-07 09:58:00-04:00,18.475000381469727,18.5,18.469999313354492,18.479999542236328,54294,0.0,0.0,KEY
2025-07-07 09:59:00-04:00,18.470500946044922,18.489999771118164,18.469999313354492,18.489999771118164,15665,0.0,0.0,KEY
2025-07-07 10:00:00-04:00,18.485000610351562,18.510000228881836,18.479999542236328,18.485000610351562,31443,0.0,0.0,KEY
2025-07-07 10:01:00-04:00,18.485000610351562,18.510000228881836,18.485000610351562,18.4950008392334,34938,0.0,0.0,KEY
2025-07-07 10:02:00-04:00,18.489999771118164,18.489999771118164,18.459999084472656,18.489999771118164,44915,0.0,0.0,KEY
2025-07-07 10:03:00-04:00,18.485000610351562,18.489999771118164,18.459999084472656,18.469999313354492,32069,0.0,0.0,KEY
2025-07-07 10:04:00-04:00,18.46500015258789,18.479999542236328,18.459999084472656,18.475000381469727,18984,0.0,0.0,KEY
2025-07-07 10:05:00-04:00,18.475000381469727,18.479999542236328,18.460100173950195,18.460100173950195,13380,0.0,0.0,KEY
2025-07-07 10:06:00-04:00,18.46500015258789,18.475000381469727,18.460100173950195,18.460100173950195,19343,0.0,0.0,KEY
2025-07-07 10:07:00-04:00,18.46500015258789,18.479999542236328,18.459999084472656,18.459999084472656,22211,0.0,0.0,KEY
2025-07-07 10:08:00-04:00,18.46500015258789,18.469999313354492,18.450000762939453,18.46500015258789,79434,0.0,0.0,KEY
2025-07-07 10:09:00-04:00,18.46500015258789,18.479999542236328,18.459999084472656,18.475000381469727,31883,0.0,0.0,KEY
2025-07-07 10:10:00-04:00,18.479900360107422,18.479999542236328,18.450000762939453,18.454999923706055,17291,0.0,0.0,KEY
2025-07-07 10:11:00-04:00,18.454999923706055,18.459999084472656,18.450000762939453,18.455400466918945,27120,0.0,0.0,KEY
2025-07-07 10:12:00-04:00,18.454999923706055,18.454999923706055,18.434999465942383,18.43910026550293,88468,0.0,0.0,KEY
2025-07-07 10:13:00-04:00,18.434999465942383,18.459999084472656,18.43000030517578,18.459999084472656,71642,0.0,0.0,KEY
2025-07-07 10:14:00-04:00,18.454999923706055,18.459999084472656,18.44499969482422,18.454999923706055,60461,0.0,0.0,KEY
2025-07-07 10:15:00-04:00,18.44499969482422,18.450000762939453,18.420000076293945,18.43000030517578,55027,0.0,0.0,KEY
2025-07-07 10:16:00-04:00,18.420000076293945,18.43000030517578,18.399999618530273,18.405000686645508,21928,0.0,0.0,KEY
2025-07-07 10:17:00-04:00,18.400100708007812,18.40999984741211,18.389999389648438,18.389999389648438,39804,0.0,0.0,KEY
